,Player,Tm,Yr2019_20
401,Mitchell Robinson,NYK,"$1,559,712 "
402,Vlatko Čančar,DEN,"$1,517,981 "
403,Isaiah Roby,OKC,"$1,500,000 "
404,Nigel Williams-Goss,UTA,"$1,500,000 "
405,J.R. Smith,CLE,"$1,456,667 "
406,Shake Milton,PHI,"$1,445,697 "
407,Thanasis Antetokounmpo,MIL,"$1,445,697 "
408,Amile Jefferson,ORL,"$1,445,697 "
409,Theo Pinson,NYK,"$1,445,697 "
410,Brad Wanamaker,BOS,"$1,445,697 "
411,Derrick Walton,ATL,"$1,445,697 "
412,Ryan Broekhoff,DAL,"$1,443,842 "
413,Gary Trent,POR,"$1,416,852 "
414,Isaac Bonga,WAS,"$1,416,852 "
415,Chimezie Metu,SAS,"$1,416,852 "
416,Jevon Carter,PHO,"$1,416,852 "
417,Elie Okobo,PHO,"$1,416,852 "
418,Melvin Frazier,ORL,"$1,416,852 "
419,Deonte Burton,OKC,"$1,416,852 "
420,Hamidou Diallo,OKC,"$1,416,852 "
421,Kenrich Williams,NOP,"$1,416,852 "
422,Jarred Vanderbilt,MIN,"$1,416,852 "
423,Duncan Robinson,MIA,"$1,416,852 "
424,Kendrick Nunn,MIA,"$1,416,852 "
425,De'Anthony Melton,MEM,"$1,416,852 "
426,Alize Johnson,IND,"$1,416,852 "
427,Isaiah Hartenstein,HOU,"$1,416,852 "
428,Sviatoslav Mykhailiuk,DET,"$1,416,852 "
429,Bruce Brown,DET,"$1,416,852 "
430,Keita Bates-Diop,DEN,"$1,416,852 "
431,Devonte' Graham,CHO,"$1,416,852 "
432,Jalen Brunson,DAL,"$1,416,582 "
433,Bruno Fernando,ATL,"$1,400,000 "
434,Jaylen Nowell,MIN,"$1,400,000 "
435,Alfonzo McKinnie,CLE,"$1,361,046 "
436,Kevin Porter,CLE,"$1,290,960 "
437,Carsen Edwards,BOS,"$1,228,026 "
438,Cody Martin,CHO,"$1,173,310 "
439,Gary Payton,WAS,"$1,090,781 "
440,George Hill,MIL,"$1,000,000 "
441,Terance Mann,LAC,"$1,000,000 "
442,Jonathon Simmons,WAS,"$1,000,000 "
443,Justin Hamilton,TOR,"$1,000,000 "
444,Kyle Singler,OKC,"$999,200 "
445,Marvin Williams,MIL,"$956,349 "
446,David Nwaba,HOU,"$903,111 "
447,Admiral Schofield,WAS,"$898,310 "
448,KZ Okpala,MIA,"$898,310 "
449,Eric Paschall,GSW,"$898,310 "
450,Nicolas Claxton,BRK,"$898,310 "
451,Justin James,SAC,"$898,310 "
452,Jalen Lecque,PHO,"$898,310 "
453,Ignas Brazdeikis,NYK,"$898,310 "
454,Talen Horton-Tucker,LAL,"$898,310 "
455,Daniel Gafford,CHI,"$898,310 "
456,Alen Smailagić,GSW,"$898,310 "
457,Matt Thomas,TOR,"$898,310 "
