,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
457,Rodions Kurucs,BRK,PF,1699236.0,7903.42,21,8.9,215.0,47.0,684.0,51.0,25.0,5.0
262,Justin Holiday,IND,SG,4767000.0,7905.47,30,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
233,Ish Smith,WAS,PG,5853659.0,7910.35,31,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
377,Patrick Patterson,LAC,PF,2331593.0,7984.91,30,11.5,292.0,59.0,776.0,41.0,7.0,3.0
278,Cameron Johnson,PHO,PF,4033440.0,8002.86,23,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
160,Spencer Dinwiddie,BRK,SG,10600000.0,8042.49,26,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
562,Caleb Martin,CHO,SF,898310.0,8092.88,24,12.0,111.0,18.0,317.0,23.0,12.0,7.0
210,Derrick Rose,DET,PG,7317073.0,8094.11,31,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
439,Shabazz Napier,WAS,PG,1882867.0,8150.94,28,13.8,231.0,20.0,488.0,75.0,29.0,4.0
158,T.J. Warren,IND,SF,10810000.0,8152.34,26,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
347,Harry Giles,SAC,PF,2578800.0,8160.76,21,16.4,316.0,46.0,667.0,60.0,22.0,18.0
222,Nemanja Bjelica,SAC,PF,6825000.0,8213.0,31,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
571,Gary Clark,ORL,PF,708426.0,8237.51,25,10.1,86.0,24.0,355.0,5.0,4.0,15.0
250,Daniel Theis,BOS,C,5000000.0,8319.47,27,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
216,Dāvis Bertāns,WAS,PF,7000000.0,8393.29,27,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
629,Eric Mika,SAC,PF,50752.0,8458.67,25,13.9,6.0,1.0,19.0,0.0,0.0,0.0
346,Matisse Thybulle,PHI,SG,2582160.0,8466.1,22,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
361,Vince Carter,ATL,SF,2564753.0,8606.55,43,7.5,298.0,60.0,876.0,48.0,23.0,25.0
287,Luke Kennard,DET,SG,3827160.0,8658.73,23,14.4,442.0,28.0,922.0,115.0,12.0,6.0
193,Ben Simmons,PHI,PG,8113930.0,8659.48,23,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
229,Darius Garland,CLE,PG,6400920.0,8792.47,20,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
470,Willy Hernangómez,CHO,C,1676735.0,8824.92,25,19.2,190.0,31.0,375.0,29.0,10.0,7.0
256,Richaun Holmes,SAC,C,4767000.0,8844.16,26,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
309,Kyle Korver,MIL,SF,3440000.0,8911.92,38,11.3,386.0,58.0,960.0,68.0,26.0,12.0
