,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
153,RJ Barrett,NYK,SG,"$7,839,960.00","$4,031,891.00",19.0,10.7,803.0,56.0,1704.0,143.0,55.0,17.0
154,Nicolò Melli,NOP,C,"$3,902,439.00","$3,733,585.00",29.0,11.4,395.0,60.0,1042.0,82.0,34.0,23.0
155,Džanan Musa,BRK,SF,"$1,911,600.00","$1,626,002.00",20.0,9.4,192.0,40.0,487.0,43.0,15.0,1.0
156,Jarrett Culver,MIN,SG,"$5,813,640.00","$2,362,858.00",20.0,9.6,580.0,63.0,1506.0,110.0,57.0,38.0
157,Grant Williams,BOS,PF,"$2,379,840.00","$988,640.00",21.0,7.9,237.0,69.0,1043.0,68.0,30.0,36.0
158,Jakob Poeltl,SAS,C,"$3,754,886.00","$3,595,555.00",24.0,19.1,372.0,66.0,1171.0,116.0,37.0,95.0
159,Carsen Edwards,BOS,SG,"$1,228,026.00","$1,454,231.00",21.0,6.9,121.0,37.0,351.0,24.0,12.0,4.0
160,Enes Kanter,BOS,C,"$4,767,000.00","$6,283,477.00",27.0,22.4,469.0,58.0,983.0,56.0,22.0,41.0
161,Luke Kornet,CHI,C,"$2,195,122.00","$3,890,579.00",24.0,12.7,215.0,36.0,559.0,32.0,11.0,26.0
162,Jaxson Hayes,NOP,C,"$4,862,040.00","$1,949,754.00",19.0,17.6,472.0,64.0,1080.0,56.0,26.0,55.0
163,Doug McDermott,IND,PF,"$7,333,334.00","$4,324,004.00",28.0,14.4,710.0,69.0,1372.0,78.0,12.0,5.0
164,Kenrich Williams,NOP,PF,"$1,416,852.00","$3,961,957.00",25.0,7.5,136.0,39.0,832.0,57.0,27.0,21.0
165,Kevin Knox,NYK,SF,"$4,380,120.00","$1,292,848.00",20.0,8.3,419.0,65.0,1166.0,61.0,23.0,28.0
166,DeAndre' Bembry,ATL,SG,"$2,603,982.00","$4,062,548.00",25.0,9.6,249.0,43.0,915.0,81.0,55.0,19.0
167,Alec Burks,PHI,SG,"$2,320,044.00","$11,584,674.00",28.0,16.1,220.0,18.0,364.0,38.0,12.0,0.0
168,Chandler Hutchison,CHI,SF,"$2,332,320.00","$4,629,838.00",23.0,12.4,218.0,28.0,527.0,26.0,27.0,7.0
169,Langston Galloway,DET,SG,"$7,333,333.00","$6,754,286.00",28.0,12.3,677.0,66.0,1702.0,101.0,48.0,11.0
170,Ivica Zubac,LAC,C,"$6,481,482.00","$3,317,319.00",22.0,21.7,596.0,72.0,1326.0,82.0,16.0,66.0
171,Jerami Grant,DEN,PF,"$9,346,153.00","$6,098,811.00",25.0,14.4,851.0,71.0,1892.0,88.0,50.0,57.0
172,JaMychal Green,LAC,PF,"$4,767,000.00","$4,729,060.00",29.0,11.1,430.0,63.0,1307.0,49.0,29.0,24.0
173,Nickeil Alexander-Walker,NOP,SG,"$2,964,840.00","$1,450,433.00",21.0,8.9,267.0,47.0,591.0,89.0,17.0,8.0
174,JaKarr Sampson,IND,SF,"$1,737,145.00","$4,474,362.00",26.0,12.6,156.0,34.0,471.0,21.0,16.0,12.0
175,James Ennis,ORL,SF,"$1,882,867.00","$9,799,013.00",29.0,10.3,169.0,20.0,489.0,22.0,12.0,8.0
176,Markelle Fultz,ORL,PG,"$9,745,200.00","$4,239,796.00",21.0,14.3,870.0,72.0,1996.0,369.0,90.0,11.0
177,Terrance Ferguson,OKC,SF,"$2,475,840.00","$1,847,841.00",21.0,3.7,220.0,56.0,1257.0,51.0,27.0,17.0
178,Avery Bradley,LAL,SG,"$4,767,000.00","$6,299,338.00",29.0,8.9,423.0,49.0,1186.0,63.0,43.0,5.0
179,Aron Baynes,PHO,C,"$5,453,280.00","$13,288,237.00",33.0,15.2,481.0,42.0,934.0,67.0,10.0,23.0
180,Ryan Arcidiacono,CHI,PG,"$3,000,000.00","$2,094,688.00",25.0,9.0,261.0,58.0,930.0,96.0,27.0,3.0
181,J.J. Barea,DAL,PG,"$2,564,753.00","$14,023,943.00",35.0,14.6,222.0,29.0,450.0,112.0,5.0,2.0
182,Jeff Green,HOU,C,"$2,564,753.00","$22,996,513.00",33.0,18.6,220.0,18.0,407.0,30.0,14.0,9.0
183,Mike Scott,PHI,PF,"$4,767,000.00","$3,983,742.00",31.0,11.2,408.0,68.0,1207.0,56.0,21.0,5.0
184,Lonzo Ball,NOP,PG,"$8,719,320.00","$6,867,169.00",22.0,13.1,745.0,63.0,2025.0,438.0,88.0,38.0
185,Maxi Kleber,DAL,C,"$8,000,000.00","$7,110,550.00",28.0,13.6,672.0,74.0,1890.0,88.0,25.0,83.0
186,Theo Pinson,BRK,SG,"$1,445,697.00","$2,087,258.00",24.0,5.2,120.0,33.0,365.0,56.0,17.0,4.0
187,D.J. Augustin,ORL,PG,"$7,250,000.00","$10,859,067.00",32.0,14.0,599.0,57.0,1420.0,262.0,34.0,1.0
188,Boban Marjanović,DAL,C,"$3,500,000.00","$9,571,709.00",31.0,25.7,289.0,44.0,422.0,20.0,8.0,10.0
189,Norman Powell,TOR,SG,"$10,116,576.00","$9,745,775.00",26.0,16.8,830.0,52.0,1479.0,91.0,60.0,21.0
190,Nassir Little,POR,PF,"$2,105,520.00","$1,205,139.00",19.0,9.6,172.0,48.0,573.0,22.0,13.0,14.0
191,Terrence Ross,ORL,SG,"$12,500,000.00","$8,024,302.00",28.0,14.0,1016.0,69.0,1889.0,82.0,77.0,24.0
192,Skal Labissière,POR,C,"$2,338,847.00","$4,898,887.00",23.0,15.4,190.0,33.0,567.0,42.0,7.0,31.0
193,Wilson Chandler,BRK,SF,"$2,564,753.00","$7,821,533.00",32.0,7.4,205.0,35.0,734.0,39.0,16.0,12.0
194,Kentavious Caldwell-Pope,LAL,SG,"$8,089,282.00","$4,909,937.00",26.0,11.0,645.0,69.0,1762.0,111.0,57.0,14.0
195,Frank Kaminsky,PHO,C,"$4,767,000.00","$5,956,960.00",26.0,14.2,378.0,39.0,777.0,75.0,14.0,10.0
196,Dennis Schröder,OKC,PG,"$15,500,000.00","$10,862,575.00",26.0,16.7,1229.0,65.0,1999.0,262.0,45.0,14.0
197,Keldon Johnson,SAS,SF,"$1,950,600.00","$6,416,504.00",20.0,19.1,154.0,17.0,301.0,15.0,14.0,2.0
198,Thon Maker,DET,C,"$3,569,643.00","$1,587,028.00",22.0,13.7,281.0,60.0,776.0,43.0,25.0,39.0
