,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
502,Theo Pinson,BRK,SG,"$1,445,697.00","$1,813,910.18",24.0,5.2,120.0,33.0,365.0,56.0,17.0,4.0
212,D.J. Augustin,ORL,PG,"$7,250,000.00","$13,533,219.68",32.0,14.0,599.0,57.0,1420.0,262.0,34.0,1.0
302,Boban Marjanović,DAL,C,"$3,500,000.00","$10,232,380.22",31.0,25.7,289.0,44.0,422.0,20.0,8.0,10.0
163,Norman Powell,TOR,SG,"$10,116,576.00","$11,867,634.10",26.0,16.8,830.0,52.0,1479.0,91.0,60.0,21.0
401,Nassir Little,POR,PF,"$2,105,520.00","$-4,830,428.22",19.0,9.6,172.0,48.0,573.0,22.0,13.0,14.0
135,Terrence Ross,ORL,SG,"$12,500,000.00","$12,003,119.64",28.0,14.0,1016.0,69.0,1889.0,82.0,77.0,24.0
375,Skal Labissière,POR,C,"$2,338,847.00","$4,410,439.42",23.0,15.4,190.0,33.0,567.0,42.0,7.0,31.0
359,Wilson Chandler,BRK,SF,"$2,564,753.00","$11,004,572.87",32.0,7.4,205.0,35.0,734.0,39.0,16.0,12.0
194,Kentavious Caldwell-Pope,LAL,SG,"$8,089,282.00","$5,519,360.92",26.0,11.0,645.0,69.0,1762.0,111.0,57.0,14.0
257,Frank Kaminsky,PHO,C,"$4,767,000.00","$7,501,695.59",26.0,14.2,378.0,39.0,777.0,75.0,14.0,10.0
99,Dennis Schröder,OKC,PG,"$15,500,000.00","$14,588,673.63",26.0,16.7,1229.0,65.0,1999.0,262.0,45.0,14.0
429,Keldon Johnson,SAS,SF,"$1,950,600.00","$4,394,536.32",20.0,19.1,154.0,17.0,301.0,15.0,14.0,2.0
294,Thon Maker,DET,C,"$3,569,643.00","$-1,948,340.26",22.0,13.7,281.0,60.0,776.0,43.0,25.0,39.0
