,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
167,Alec Burks,PHI,SG,2320044.0,10545.65,28.0,16.1,220.0,18.0,364.0,38.0,12.0,0.0
168,Chandler Hutchison,CHI,SF,2332320.0,10698.72,23.0,12.4,218.0,28.0,527.0,26.0,27.0,7.0
169,Langston Galloway,DET,SG,7333333.0,10832.1,28.0,12.3,677.0,66.0,1702.0,101.0,48.0,11.0
170,Ivica Zubac,LAC,C,6481482.0,10874.97,22.0,21.7,596.0,72.0,1326.0,82.0,16.0,66.0
171,Jerami Grant,DEN,PF,9346153.0,10982.55,25.0,14.4,851.0,71.0,1892.0,88.0,50.0,57.0
172,JaMychal Green,LAC,PF,4767000.0,11086.05,29.0,11.1,430.0,63.0,1307.0,49.0,29.0,24.0
173,Nickeil Alexander-Walker,NOP,SG,2964840.0,11104.27,21.0,8.9,267.0,47.0,591.0,89.0,17.0,8.0
174,JaKarr Sampson,IND,SF,1737145.0,11135.54,26.0,12.6,156.0,34.0,471.0,21.0,16.0,12.0
175,James Ennis,ORL,SF,1882867.0,11141.22,29.0,10.3,169.0,20.0,489.0,22.0,12.0,8.0
176,Markelle Fultz,ORL,PG,9745200.0,11201.38,21.0,14.3,870.0,72.0,1996.0,369.0,90.0,11.0
177,Terrance Ferguson,OKC,SF,2475840.0,11253.82,21.0,3.7,220.0,56.0,1257.0,51.0,27.0,17.0
178,Avery Bradley,LAL,SG,4767000.0,11269.5,29.0,8.9,423.0,49.0,1186.0,63.0,43.0,5.0
179,Aron Baynes,PHO,C,5453280.0,11337.38,33.0,15.2,481.0,42.0,934.0,67.0,10.0,23.0
180,Ryan Arcidiacono,CHI,PG,3000000.0,11494.25,25.0,9.0,261.0,58.0,930.0,96.0,27.0,3.0
181,J.J. Barea,DAL,PG,2564753.0,11552.94,35.0,14.6,222.0,29.0,450.0,112.0,5.0,2.0
182,Jeff Green,HOU,C,2564753.0,11657.97,33.0,18.6,220.0,18.0,407.0,30.0,14.0,9.0
183,Mike Scott,PHI,PF,4767000.0,11683.82,31.0,11.2,408.0,68.0,1207.0,56.0,21.0,5.0
184,Lonzo Ball,NOP,PG,8719320.0,11703.79,22.0,13.1,745.0,63.0,2025.0,438.0,88.0,38.0
185,Maxi Kleber,DAL,C,8000000.0,11904.76,28.0,13.6,672.0,74.0,1890.0,88.0,25.0,83.0
186,Theo Pinson,BRK,SG,1445697.0,12047.48,24.0,5.2,120.0,33.0,365.0,56.0,17.0,4.0
187,D.J. Augustin,ORL,PG,7250000.0,12103.51,32.0,14.0,599.0,57.0,1420.0,262.0,34.0,1.0
188,Boban Marjanović,DAL,C,3500000.0,12110.73,31.0,25.7,289.0,44.0,422.0,20.0,8.0,10.0
189,Norman Powell,TOR,SG,10116576.0,12188.65,26.0,16.8,830.0,52.0,1479.0,91.0,60.0,21.0
190,Nassir Little,POR,PF,2105520.0,12241.4,19.0,9.6,172.0,48.0,573.0,22.0,13.0,14.0
191,Terrence Ross,ORL,SG,12500000.0,12303.15,28.0,14.0,1016.0,69.0,1889.0,82.0,77.0,24.0
192,Skal Labissière,POR,C,2338847.0,12309.72,23.0,15.4,190.0,33.0,567.0,42.0,7.0,31.0
193,Wilson Chandler,BRK,SF,2564753.0,12510.99,32.0,7.4,205.0,35.0,734.0,39.0,16.0,12.0
194,Kentavious Caldwell-Pope,LAL,SG,8089282.0,12541.52,26.0,11.0,645.0,69.0,1762.0,111.0,57.0,14.0
195,Frank Kaminsky,PHO,C,4767000.0,12611.11,26.0,14.2,378.0,39.0,777.0,75.0,14.0,10.0
196,Dennis Schröder,OKC,PG,15500000.0,12611.88,26.0,16.7,1229.0,65.0,1999.0,262.0,45.0,14.0
197,Keldon Johnson,SAS,SF,1950600.0,12666.23,20.0,19.1,154.0,17.0,301.0,15.0,14.0,2.0
198,Thon Maker,DET,C,3569643.0,12703.36,22.0,13.7,281.0,60.0,776.0,43.0,25.0,39.0
199,Zach LaVine,CHI,SG,19500000.0,12745.1,24.0,19.4,1530.0,60.0,2085.0,254.0,88.0,28.0
200,Robert Williams,BOS,C,1937520.0,12916.8,22.0,23.1,150.0,29.0,388.0,27.0,22.0,35.0
201,Thomas Bryant,WAS,C,7936508.0,13032.03,22.0,21.1,609.0,46.0,1147.0,83.0,25.0,49.0
202,Edmond Sumner,IND,PG,2000000.0,13157.89,24.0,10.1,152.0,31.0,447.0,55.0,15.0,9.0
203,Isaiah Hartenstein,HOU,C,1416852.0,13241.61,21.0,18.6,107.0,23.0,266.0,18.0,9.0,12.0
204,Bojan Bogdanović,UTA,SF,17000000.0,13333.33,30.0,15.6,1275.0,63.0,2083.0,131.0,34.0,7.0
205,Robin Lopez,MIL,C,4767000.0,13352.94,31.0,10.2,357.0,66.0,958.0,45.0,10.0,45.0
206,Josh Richardson,PHI,SG,10100000.0,13377.48,26.0,12.0,755.0,55.0,1693.0,162.0,52.0,36.0
207,Quinn Cook,LAL,PG,3000000.0,13392.86,26.0,10.0,224.0,44.0,508.0,49.0,12.0,2.0
208,Sekou Doumbouya,DET,SF,3285120.0,13519.01,19.0,6.2,243.0,38.0,754.0,19.0,20.0,8.0
209,Frank Ntilikina,NYK,PG,4855800.0,13601.68,21.0,9.8,357.0,57.0,1187.0,172.0,54.0,16.0
210,Trey Lyles,SAS,PF,5500000.0,13613.86,24.0,12.6,404.0,63.0,1271.0,69.0,28.0,28.0
211,Deonte Burton,OKC,SG,1416852.0,13623.58,26.0,4.3,104.0,39.0,356.0,17.0,7.0,10.0
212,Denzel Valentine,CHI,SF,3377569.0,13729.96,26.0,13.0,246.0,36.0,488.0,43.0,26.0,6.0
213,Deandre Ayton,PHO,C,9562920.0,13859.3,21.0,20.0,690.0,38.0,1236.0,72.0,26.0,58.0
214,Giannis Antetokounmpo,MIL,PF,25842697.0,13916.37,25.0,31.9,1857.0,63.0,1917.0,354.0,61.0,66.0
215,Evan Fournier,ORL,SG,17000000.0,13923.01,27.0,16.4,1221.0,66.0,2076.0,209.0,71.0,15.0
216,Khem Birch,ORL,C,3000000.0,14150.94,27.0,11.7,212.0,48.0,922.0,50.0,20.0,23.0
217,Kris Dunn,CHI,PG,5348007.0,14337.82,25.0,12.1,373.0,51.0,1269.0,173.0,101.0,17.0
218,Jonathan Isaac,ORL,SF,5806440.0,14372.38,22.0,17.3,404.0,34.0,980.0,48.0,53.0,78.0
219,Julius Randle,NYK,PF,18000000.0,14423.08,25.0,17.5,1248.0,64.0,2080.0,198.0,51.0,22.0
220,Yogi Ferrell,SAC,PG,3150000.0,14449.54,26.0,12.2,218.0,50.0,530.0,69.0,18.0,4.0
221,Devin Booker,PHO,SG,27250000.0,14626.95,23.0,20.6,1863.0,70.0,2512.0,456.0,49.0,18.0
222,J.J. Redick,NOP,SG,13486300.0,14706.98,35.0,15.4,917.0,60.0,1581.0,119.0,20.0,10.0
