player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
KZ Okpala,MIA,SF,7,5,26,1,2,1,898310,128330,34550.38
Eric Paschall,GSW,PF,837,60,1654,127,32,13,898310,1073.25,543.11
Nicolas Claxton,BRK,PF,66,15,187,16,1,8,898310,13610.76,4803.8
Justin James,SAC,SG,89,36,232,18,6,9,898310,10093.37,3872.03
Jalen Lecque,PHO,PG,10,5,32,2,0,0,898310,89831,28072.19
Ignas Brazdeikis,NYK,SF,17,9,53,4,0,1,898310,52841.76,16949.25
Talen Horton-Tucker,LAL,SG,34,6,81,6,8,1,898310,26420.88,11090.25
Daniel Gafford,CHI,C,220,43,609,21,13,56,898310,4083.23,1475.06
Alen Smailagić,GSW,PF,59,14,139,13,3,4,898310,15225.59,6462.66
Matt Thomas,TOR,SG,202,41,440,22,10,1,898310,4447.08,2041.61
Miye Oni,UTA,SG,35,10,109,4,4,2,898310,25666,8241.38
Dewan Hernandez,TOR,C,14,6,28,3,1,0,898310,64165,32082.5
Terence Davis,TOR,SG,543,72,1209,115,39,14,898310,1654.35,743.02
Wenyen Gabriel,POR,PF,44,19,174,5,8,5,898310,20416.14,5162.7
Naz Reid,MIN,C,269,30,495,35,19,22,898310,3339.44,1814.77
Jalen McDaniels,CHO,PF,89,16,293,13,8,3,898310,10093.37,3065.9
Caleb Martin,CHO,SF,111,18,317,23,12,7,898310,8092.88,2833.79
Shaquille Harrison,CHI,SF,209,43,484,49,34,19,898310,4298.13,1856.01
Javonte Green,BOS,SF,163,48,468,26,24,8,898310,5511.1,1919.47
Damion Lee,GSW,SG,621,49,1423,133,50,6,842327,1356.4,591.94
Khyri Thomas,DET,SG,17,8,61,3,3,0,838464,49321.41,13745.31
Marquese Chriss,GSW,PF,548,59,1196,114,39,62,758804,1384.68,634.45
Juwan Morgan,UTA,PF,36,21,134,6,1,2,746054,20723.72,5567.57
Gary Clark,ORL,PF,86,24,355,5,4,15,708426,8237.51,1995.57
Cole Aldrich,,,,,,,,,685340,,
Shaun Livingston,,,,,,,,,666667,,
